session_id	original_session_id
ses-jGCaMP8s+ANM479572+cell01	ses-jGCaMP8s_ANM479572_cell01
ses-jGCaMP8s+ANM479572+cell02	ses-jGCaMP8s_ANM479572_cell02
ses-jGCaMP8s+ANM479572+cell03	ses-jGCaMP8s_ANM479572_cell03
ses-jGCaMP8s+ANM479572+cell04	ses-jGCaMP8s_ANM479572_cell04
ses-jGCaMP8s+ANM479572+cell05	ses-jGCaMP8s_ANM479572_cell05
ses-jGCaMP8s+ANM479572+cell06	ses-jGCaMP8s_ANM479572_cell06
ses-jGCaMP8s+ANM479572+cell07	ses-jGCaMP8s_ANM479572_cell07
ses-jGCaMP8s+ANM479572+cell08	ses-jGCaMP8s_ANM479572_cell08
ses-jGCaMP8s+ANM479572+cell09	ses-jGCaMP8s_ANM479572_cell09
