session_id	original_session_id
ses-jGCaMP8s+ANM479119+cell01	ses-jGCaMP8s_ANM479119_cell01
ses-jGCaMP8s+ANM479119+cell02	ses-jGCaMP8s_ANM479119_cell02
ses-jGCaMP8s+ANM479119+cell03	ses-jGCaMP8s_ANM479119_cell03
ses-jGCaMP8s+ANM479119+cell04	ses-jGCaMP8s_ANM479119_cell04
ses-jGCaMP8s+ANM479119+cell05	ses-jGCaMP8s_ANM479119_cell05
ses-jGCaMP8s+ANM479119+cell06	ses-jGCaMP8s_ANM479119_cell06
ses-jGCaMP8s+ANM479119+cell07	ses-jGCaMP8s_ANM479119_cell07
ses-jGCaMP8s+ANM479119+cell08	ses-jGCaMP8s_ANM479119_cell08
ses-jGCaMP8s+ANM479119+cell09	ses-jGCaMP8s_ANM479119_cell09
