participant_id	original_participant_id	species	sex
sub-471991	sub-471991	mus musculus	M
sub-471993	sub-471993	mus musculus	M
sub-471994	sub-471994	mus musculus	M
sub-471996	sub-471996	mus musculus	M
sub-472179	sub-472179	mus musculus	M
sub-472180	sub-472180	mus musculus	M
sub-472181	sub-472181	mus musculus	M
sub-472182	sub-472182	mus musculus	M
sub-478342	sub-478342	mus musculus	M
sub-478343	sub-478343	mus musculus	M
sub-478345	sub-478345	mus musculus	M
sub-478346	sub-478346	mus musculus	M
sub-478347	sub-478347	mus musculus	M
sub-478348	sub-478348	mus musculus	M
sub-478349	sub-478349	mus musculus	M
sub-478404	sub-478404	mus musculus	M
sub-478406	sub-478406	mus musculus	M
sub-478407	sub-478407	mus musculus	M
sub-478410	sub-478410	mus musculus	M
sub-478411	sub-478411	mus musculus	M
sub-479115	sub-479115	mus musculus	M
sub-479116	sub-479116	mus musculus	M
sub-479117	sub-479117	mus musculus	M
sub-479118	sub-479118	mus musculus	M
sub-479119	sub-479119	mus musculus	M
sub-479120	sub-479120	mus musculus	M
sub-479569	sub-479569	mus musculus	M
sub-479570	sub-479570	mus musculus	M
sub-479571	sub-479571	mus musculus	M
sub-479572	sub-479572	mus musculus	M
