session_id	original_session_id
ses-jGCaMP8m+ANM479569+cell01	ses-jGCaMP8m_ANM479569_cell01
ses-jGCaMP8m+ANM479569+cell02	ses-jGCaMP8m_ANM479569_cell02
ses-jGCaMP8m+ANM479569+cell03	ses-jGCaMP8m_ANM479569_cell03
ses-jGCaMP8m+ANM479569+cell04	ses-jGCaMP8m_ANM479569_cell04
ses-jGCaMP8m+ANM479569+cell05	ses-jGCaMP8m_ANM479569_cell05
ses-jGCaMP8m+ANM479569+cell06	ses-jGCaMP8m_ANM479569_cell06
ses-jGCaMP8m+ANM479569+cell07	ses-jGCaMP8m_ANM479569_cell07
ses-jGCaMP8m+ANM479569+cell08	ses-jGCaMP8m_ANM479569_cell08
